Date,Open,High,Low,Close,Adj Close,Volume,Day
12/29/2022,10.27,10.87,10.06,10.85,10.85,10395300,222
12/30/2022,10.58,11.27,10.56,11.02,11.02,11232300,223
1/3/2023,11.3,11.43,10.97,11.12,11.12,8644100,224
1/4/2023,11.31,11.5,11.125,11.49,11.49,11343400,225
1/5/2023,11.39,11.57,11.06,11.36,11.36,7601500,226
1/6/2023,11.42,12.01,11.12,11.94,11.94,11944600,227
1/9/2023,12.24,13.27,12.15,12.7,12.7,22063000,228
1/10/2023,12.6,13.37,12.6,13.31,13.31,14150000,229
1/11/2023,13.26,13.95,13.21,13.84,13.84,20206600,230
1/12/2023,14.1,14.58,13.77,14.55,14.55,13261500,231
1/13/2023,14.32,14.61,14.15,14.49,14.49,12229100,232
1/17/2023,14.4,14.6,14.034,14.35,14.35,11654100,233
1/18/2023,14.69,14.87,14.14,14.35,14.35,15556000,234
1/19/2023,14.15,14.49,13.84,14.21,14.21,11483900,235
1/20/2023,14.44,15.46,14.4,15.4,15.4,16868400,236
1/23/2023,15.48,15.74,15.08,15.41,15.41,14384700,237
1/24/2023,16.110001,16.129999,15.29,15.3,15.3,18609400,238
1/25/2023,14.94,15.88,14.65,15.86,15.86,16116200,239
1/26/2023,16.15,16.299999,15.213,15.36,15.36,15725000,240
1/27/2023,15.23,16.469999,15.18,16.18,16.18,12631900,241
1/30/2023,15.59,16.01,15.471,15.55,15.55,10076000,242
1/31/2023,15.69,16.528,15.69,16.25,16.25,10345300,243
2/1/2023,16.24,17.24,16.16,16.9,16.9,12936500,244
2/2/2023,17.219999,17.57,16.965,17.549999,17.549999,17475000,245
2/3/2023,16.91,17.629999,16.754999,17.379999,17.379999,12178300,246
2/6/2023,16.83,17.545,16.665001,17.35,17.35,13691500,247
2/7/2023,17.35,18.01,17.059999,17.93,17.93,15692800,248
2/8/2023,18.280001,18.360001,16.66,16.75,16.75,22771100,249
2/9/2023,17.075001,17.295,15.99,16.219999,16.219999,40755900,250
2/10/2023,11.15,11.22,10.28,10.325,10.325,100214329,251
